,ReportDate,CrashCount,Year,Month,Day
369,2014/04/05,59,2014,04,05
370,2014/04/06,52,2014,04,06
371,2014/04/07,63,2014,04,07
372,2014/04/08,50,2014,04,08
373,2014/04/09,51,2014,04,09
374,2014/04/10,65,2014,04,10
375,2014/04/11,76,2014,04,11
376,2014/04/12,61,2014,04,12
377,2014/04/13,38,2014,04,13
378,2014/04/14,46,2014,04,14
379,2014/04/15,56,2014,04,15
380,2014/04/16,49,2014,04,16
381,2014/04/17,46,2014,04,17
382,2014/04/18,65,2014,04,18
383,2014/04/19,59,2014,04,19
384,2014/04/20,45,2014,04,20
385,2014/04/21,55,2014,04,21
386,2014/04/22,43,2014,04,22
387,2014/04/23,47,2014,04,23
388,2014/04/24,61,2014,04,24
389,2014/04/25,75,2014,04,25
390,2014/04/26,53,2014,04,26
391,2014/04/27,41,2014,04,27
392,2014/04/28,50,2014,04,28
393,2014/04/29,61,2014,04,29
394,2014/04/30,67,2014,04,30
395,2014/05/01,70,2014,05,01
396,2014/05/02,55,2014,05,02
397,2014/05/03,57,2014,05,03
398,2014/05/04,37,2014,05,04
399,2014/05/05,61,2014,05,05
400,2014/05/06,54,2014,05,06
401,2014/05/07,65,2014,05,07
402,2014/05/08,69,2014,05,08
403,2014/05/09,76,2014,05,09
404,2014/05/10,72,2014,05,10
405,2014/05/11,44,2014,05,11
406,2014/05/12,59,2014,05,12
407,2014/05/13,54,2014,05,13
408,2014/05/14,55,2014,05,14
409,2014/05/15,68,2014,05,15
410,2014/05/16,74,2014,05,16
411,2014/05/17,50,2014,05,17
412,2014/05/18,47,2014,05,18
413,2014/05/19,52,2014,05,19
414,2014/05/20,57,2014,05,20
415,2014/05/21,58,2014,05,21
416,2014/05/22,53,2014,05,22
417,2014/05/23,68,2014,05,23
418,2014/05/24,53,2014,05,24
419,2014/05/25,51,2014,05,25
420,2014/05/26,29,2014,05,26
421,2014/05/27,69,2014,05,27
422,2014/05/28,52,2014,05,28
423,2014/05/29,69,2014,05,29
424,2014/05/30,69,2014,05,30
425,2014/05/31,43,2014,05,31
426,2014/06/01,49,2014,06,01
427,2014/06/02,50,2014,06,02
428,2014/06/03,39,2014,06,03
429,2014/06/04,61,2014,06,04
430,2014/06/05,65,2014,06,05
431,2014/06/06,65,2014,06,06
432,2014/06/07,61,2014,06,07
433,2014/06/08,57,2014,06,08
434,2014/06/09,69,2014,06,09
435,2014/06/10,67,2014,06,10
436,2014/06/11,66,2014,06,11
437,2014/06/12,53,2014,06,12
438,2014/06/13,47,2014,06,13
439,2014/06/14,57,2014,06,14
440,2014/06/15,50,2014,06,15
441,2014/06/16,55,2014,06,16
442,2014/06/17,63,2014,06,17
443,2014/06/18,55,2014,06,18
444,2014/06/19,50,2014,06,19
445,2014/06/20,70,2014,06,20
446,2014/06/21,63,2014,06,21
447,2014/06/22,49,2014,06,22
448,2014/06/23,47,2014,06,23
449,2014/06/24,55,2014,06,24
450,2014/06/25,43,2014,06,25
451,2014/06/26,60,2014,06,26
452,2014/06/27,75,2014,06,27
453,2014/06/28,48,2014,06,28
454,2014/06/29,48,2014,06,29
455,2014/06/30,71,2014,06,30
456,2014/07/01,59,2014,07,01
457,2014/07/02,60,2014,07,02
458,2014/07/03,57,2014,07,03
459,2014/07/04,45,2014,07,04
460,2014/07/05,56,2014,07,05
461,2014/07/06,39,2014,07,06
462,2014/07/07,41,2014,07,07
463,2014/07/08,56,2014,07,08
464,2014/07/09,54,2014,07,09
465,2014/07/10,61,2014,07,10
466,2014/07/11,59,2014,07,11
467,2014/07/12,45,2014,07,12
468,2014/07/13,45,2014,07,13
469,2014/07/14,58,2014,07,14
470,2014/07/15,50,2014,07,15
471,2014/07/16,63,2014,07,16
472,2014/07/17,60,2014,07,17
473,2014/07/18,53,2014,07,18
474,2014/07/19,55,2014,07,19
