,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG
100,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-10,5.82,0.0,0.0,0.0,80.0
101,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-11,4.92,0.22,0.0,0.0,78.0
102,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-12,7.38,0.66,0.0,0.0,72.0
103,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-13,2.24,0.31,0.0,0.0,75.0
104,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-14,2.46,0.0,0.0,0.0,79.0
105,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-15,3.8,0.0,0.0,0.0,82.0
106,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-16,4.92,0.0,0.0,0.0,86.0
107,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-17,2.46,0.0,0.0,0.0,85.0
108,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-18,2.91,0.0,0.0,0.0,86.0
109,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-19,4.7,0.38,0.0,0.0,86.0
110,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-20,6.26,0.0,0.0,0.0,82.0
111,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-21,3.13,0.0,0.0,0.0,80.0
112,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-22,3.8,0.07,0.0,0.0,80.0
113,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-23,6.93,0.06,0.0,0.0,80.0
114,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-24,6.93,0.0,0.0,0.0,78.0
115,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-25,7.16,0.0,0.0,0.0,71.0
116,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-26,3.58,0.0,0.0,0.0,74.0
117,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-27,4.47,0.05,0.0,0.0,74.0
118,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-28,4.25,0.0,0.0,0.0,76.0
119,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-29,6.04,0.0,0.0,0.0,74.0
120,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-30,3.36,0.0,0.0,0.0,72.0
121,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-07-31,3.8,0.0,0.0,0.0,73.0
122,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-01,3.36,0.38,0.0,0.0,73.0
123,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-02,4.92,0.0,0.0,0.0,76.0
124,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-03,4.7,0.03,0.0,0.0,72.0
125,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-04,6.93,0.0,0.0,0.0,72.0
126,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-05,3.8,0.0,0.0,0.0,69.0
127,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-06,2.01,0.13,0.0,0.0,69.0
128,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-07,4.25,0.1,0.0,0.0,73.0
129,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-08,5.14,0.08,0.0,0.0,77.0
130,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-09,7.16,0.01,0.0,0.0,80.0
131,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-10,2.24,0.01,0.0,0.0,79.0
132,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-11,3.8,0.0,0.0,0.0,76.0
133,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-12,2.68,0.0,0.0,0.0,78.0
134,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-13,6.04,0.33,0.0,0.0,78.0
135,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-14,8.5,0.0,0.0,0.0,71.0
136,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-15,3.36,0.0,0.0,0.0,67.0
137,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-16,2.24,0.0,0.0,0.0,67.0
138,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-17,5.82,0.0,0.0,0.0,68.0
139,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-18,4.7,0.02,0.0,0.0,71.0
140,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-19,2.91,0.0,0.0,0.0,69.0
141,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-20,1.57,0.0,0.0,0.0,74.0
142,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",39.1733,-76.684,47.5,2013-08-21,4.25,0.01,0.0,0.0,78.0
